"","dahuk","ninewa"
"2018-03-07T09:39:51.201+03",0.03125,0
"2018-03-07T09:55:45.728+03",0.03125,0
"2018-03-07T10:00:41.989+03",0.03125,0
"2018-03-07T10:01:13.482+03",0.03125,0
"2018-03-07T10:08:04.633+03",0.03125,0
"2018-03-07T10:42:26.702+03",0.03125,0
"2018-03-07T10:51:29.169+03",0.03125,0
"2018-03-07T11:10:47.910+03",0.03125,0
"2018-03-07T11:18:19.146+03",0.03125,0
"2018-03-07T11:18:42.747+03",0.03125,0
"2018-03-07T11:22:20.451+03",0.03125,0
"2018-03-07T11:37:59.237+03",0.03125,0
"2018-03-07T11:44:46.377+03",0.03125,0
"2018-03-07T11:47:00.861+03",0.03125,0
"2018-03-07T11:59:16.535+03",0.03125,0
"2018-03-07T13:28:59.252+03",0.03125,0
"2018-03-07T13:39:17.173+03",0.03125,0
"2018-03-07T14:02:17.895+03",0.03125,0
"2018-03-07T14:02:59.860+03",0.03125,0
"2018-03-07T14:27:11.969+03",0.03125,0
"2018-03-07T14:41:46.870+03",0.03125,0
"2018-03-07T14:55:38.196+03",0.03125,0
"2018-03-07T14:56:43.463+03",0.03125,0
"2018-03-07T14:59:49.897+03",0,0.5
"2018-03-07T15:04:00.419+03",0.03125,0
"2018-03-07T15:13:31.125+03",0.03125,0
"2018-03-07T15:30:18.125+03",0.03125,0
"2018-03-07T15:32:54.640+03",0.03125,0
"2018-03-07T15:33:43.652+03",0.03125,0
"2018-03-07T15:39:04.032+03",0,0.5
"2018-03-07T15:48:55.717+03",0.03125,0
"2018-03-07T16:01:54.640+03",0.03125,0
"2018-03-07T16:18:35.743+03",0.03125,0
"2018-03-07T16:36:23.038+03",0.03125,0
