"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max"
"Anbar","mcna_shelter_imm","governorate",NA,"Anbar",0.690141640570579,NA,0.660964836784967,0.719318444356191
"Babylon","mcna_shelter_imm","governorate",NA,"Babylon",0.405450041288192,NA,0.347444362513909,0.463455720062475
"Baghdad","mcna_shelter_imm","governorate",NA,"Baghdad",0.464524734127312,NA,0.423643528641026,0.505405939613598
"Dahuk","mcna_shelter_imm","governorate",NA,"Dahuk",0.208511540772684,NA,0.181602265626181,0.235420815919187
"Diyala","mcna_shelter_imm","governorate",NA,"Diyala",0.202910470145427,NA,0.170772923274587,0.235048017016267
"Erbil","mcna_shelter_imm","governorate",NA,"Erbil",0.147277806929219,NA,0.116993123135852,0.177562490722585
"Kerbala","mcna_shelter_imm","governorate",NA,"Kerbala",0.309782608695652,NA,0.242966934349018,0.376598283042286
"Kirkuk","mcna_shelter_imm","governorate",NA,"Kirkuk",0.54068580759287,NA,0.503214790536947,0.578156824648793
"Missan","mcna_shelter_imm","governorate",NA,"Missan",0.0246913580246914,NA,-0.00910475993728877,0.0584874759866715
"Najaf","mcna_shelter_imm","governorate",NA,"Najaf",0.713178294573643,NA,0.635127736550454,0.791228852596833
"Ninewa","mcna_shelter_imm","governorate",NA,"Ninewa",0.392567071491939,NA,0.366507007244916,0.418627135738963
"Qadissiya","mcna_shelter_imm","governorate",NA,"Qadissiya",0,NA,0,0
"Salah al-Din","mcna_shelter_imm","governorate",NA,"Salah al-Din",0.563430573832301,NA,0.531547568888148,0.595313578776454
"Sulaymaniyah","mcna_shelter_imm","governorate",NA,"Sulaymaniyah",0.191776661858331,NA,0.151462630939791,0.232090692776871
"Thi-Qar","mcna_shelter_imm","governorate",NA,"Thi-Qar",0.234567901234568,NA,0.142287192984353,0.326848609484783
"Wassit","mcna_shelter_imm","governorate",NA,"Wassit",0.0134228187919463,NA,-0.00505539828323252,0.0319010358671251
