"","district","population_group"
"1","belet_xaawo","Host"
"5","belet_xaawo","IDP"
"6","balcad","Host"
"16","jowhar","Host"
"26","baidoa","Host"
"31","baidoa","IDP"
"50","gebiley","Host"
"55","baardheere","Host"
"58","waajid","IDP"
"64","waajid","Host"
"138","qansax_dheere","IDP"
"294","kismayo","Host"
"315","kismayo","IDP"
"365","kismayo",NA
"372","buur_hakaba","Host"
"403","buur_hakaba","IDP"
"459","mogadishu_hodan","IDP"
"460","mogadishu_daynile","IDP"
"471","mogadishu_daynile","Host"
"476","mogadishu_hodan","Host"
"546","ceel_barde","IDP"
"547","xudur","IDP"
"548","rab_dhuure","IDP"
"550","ceel_barde","Host"
"585","mogadishu_dharkenley","IDP"
"595","mogadishu_dharkenley","Host"
"603","mogadishu","IDP"
"685","kurtunwaarey","IDP"
"782","mogadishu","Host"
"795","afgooye","IDP"
"796","qoryooley","Host"
"900","dhuusamarreeb","Host"
"968","mogadishu",NA
"1005","mogadishu_daynile",NA
"1122","mogadishu_hodan",NA
"1132","qardho","IDP"
"1133","qardho","Host"
"1136","qardho",NA
"1193","bossaso","IDP"
"1326","bossaso","Host"
"1327","bossaso",NA
"1530","hargeysa","Host"
"1554","laasqoray","Host"
"1556","hargeysa","IDP"
"1571","hargeysa",NA
"1768","belet_weyne","Host"
"1847","burco","Host"
"1919","bandarbayla","Host"
"1927","bandarbayla","IDP"
"1932","burco","IDP"
"2027","rab_dhuure","Host"
"2038","borama","IDP"
"2053","laasqoray",NA
"2085","gaalkacyo","Host"
"2117","jariiban","Host"
"2118","gaalkacyo","IDP"
"2232","afgooye","Host"
"2269","wanla_weyn","Host"
"2304","qoryooley","IDP"
"2336","wanla_weyn","IDP"
"2347","borama","Host"
"2352","marka","Host"
"2363","gebiley","IDP"
"2405","borama",NA
"2411","marka","IDP"
"2474","gebiley",NA
"2500","burco",NA
"2787","gaalkacyo",NA
"2896","belet_weyne","IDP"
"2922","caynabo","Host"
"2976","caynabo","IDP"
"3102","jariiban","IDP"
"3118","laasqoray","IDP"
"3239","eyl","Host"
"3689","berbera","IDP"
"3730","berbera",NA
"3732","berbera","Host"
"3852","ceerigaabo","Host"
"3920","dhuusamarreeb","IDP"
"3951","ceel_dheer","IDP"
"4001","ceel_buur","IDP"
"4121","qansax_dheere","Host"
"4252","lughaye","Host"
"4263","lughaye","IDP"
"4560","cadaado","Host"
"4563","cadaado","IDP"
"4658","dhuusamarreeb",NA
"4686","garowe","IDP"
"4900","garowe","Host"
"4941","cabudwaaq","IDP"
"4942","cabudwaaq","Host"
"5013","zeylac","Host"
"5059","burtinle","Host"
"5229","zeylac","IDP"
"5560","burtinle","IDP"
"5685","burtinle",NA
"6421","cabudwaaq",NA
"6593","eyl","IDP"
"6690","xudur","Host"
"6935","qoryooley",NA
"7830","garowe",NA
"7980","ceerigaabo","IDP"
"8255","hobyo","IDP"
"8257","hobyo","Host"
"8437","doolow","Host"
"8440","doolow","IDP"
"8492","ceerigaabo",NA
"8510","doolow",NA
"8610","ceel_afweyn","Host"
"8622","ceel_afweyn","IDP"
"8737","hobyo",NA
"9005","baraawe","IDP"
"9636","baardheere","IDP"
"9662","ceel_waaq","Host"
"9675","diinsoor","IDP"
"10086","balcad","IDP"
"10179","luuq","Host"
"10187","luuq","IDP"
"10610","cadale","Host"
"10672","cadale","IDP"
"10806","jowhar","IDP"
"11091","jowhar",NA
"11689","balcad",NA
